name,price,category,country_of_origin,expiration_date,search_tags,description
fresh beef,835.76,pastry,Germany,2018-10-12 00:00:00,imported pastry,dried
vacuum sealed gurkin,756.18,fruit,China,2018-09-03 00:00:00,imported meat,imported
spicy broccoli,369.69,dried,Poland,2019-01-25 00:00:00,vacuum sealed dried,fresh
frozen beef,231.12,canned,France,2018-02-26 00:00:00,frozen meat,smoked
spicy gurkin,834.14,canned,Poland,2019-07-26 00:00:00,spicy fruit,fresh
smoked beans,108.66,canned,Spain,2020-02-07 00:00:00,imported vegetables,imported
vacuum sealed gurkin,411.44,canned,China,2019-02-13 00:00:00,fresh meat,dried
vacuum sealed pork,349.49,pastry,Brazil,2019-04-01 00:00:00,vacuum sealed meat,fresh
frozen gurkin,551.36,processed food,Brazil,2019-03-16 00:00:00,smoked dried,dried
fresh broccoli,284.4,canned,Poland,2020-03-21 00:00:00,spicy processed food,imported
imported bread,264.32,processed food,Germany,2019-08-27 00:00:00,imported canned,smoked
domestic tomato,709.15,canned,China,2020-10-12 00:00:00,imported legumes,fresh
dried tomato,988.54,canned,China,2018-06-01 00:00:00,vacuum sealed meat,vacuum sealed
fresh chicken,231.17,canned,Germany,2020-06-01 00:00:00,spicy canned,domestic
smoked beef,492.27,legumes,Morocco,2020-07-08 00:00:00,domestic fruit,domestic
vacuum sealed potatoes,358.45,processed food,Poland,2020-03-11 00:00:00,fresh meat,vacuum sealed
spicy potatoes,650.54,canned,Spain,2018-03-15 00:00:00,fresh dried,imported
imported chicken,952.3,canned,France,2018-11-23 00:00:00,domestic vegetables,dried
spicy bread,84.39,processed food,Poland,2019-03-05 00:00:00,fresh vegetables,smoked
frozen beans,860.9,processed food,Brazil,2018-05-01 00:00:00,fresh pastry,imported
imported broccoli,102.48,vegetables,Spain,2020-09-13 00:00:00,frozen vegetables,vacuum sealed
frozen lentils,758.14,fruit,France,2018-09-26 00:00:00,domestic canned,domestic
frozen chicken,553.66,canned,China,2020-11-07 00:00:00,spicy fruit,dried
spicy beef,365.76,fruit,Brazil,2019-07-12 00:00:00,imported vegetables,spicy
smoked lentils,351.36,processed food,Brazil,2020-11-28 00:00:00,domestic processed food,imported
imported buns,313.74,meat,China,2020-11-19 00:00:00,dried vegetables,vacuum sealed
spicy bread,356.58,legumes,Spain,2019-08-05 00:00:00,dried canned,fresh
frozen paprika,305.97,vegetables,China,2020-05-11 00:00:00,smoked legumes,smoked
vacuum sealed broccoli,299.05,vegetables,Spain,2020-06-19 00:00:00,spicy canned,vacuum sealed
fresh pork,489.67,dried,Morocco,2019-08-11 00:00:00,fresh fruit,fresh
vacuum sealed broccoli,973.69,canned,Brazil,2020-09-24 00:00:00,spicy pastry,vacuum sealed
dried lentils,481.16,legumes,Spain,2018-10-22 00:00:00,smoked fruit,spicy
imported pork,408.76,processed food,China,2018-02-07 00:00:00,frozen pastry,smoked
smoked gurkin,842.43,fruit,Poland,2020-04-24 00:00:00,frozen dried,domestic
vacuum sealed lentils,107.17,dried,China,2019-11-11 00:00:00,vacuum sealed meat,smoked
smoked prawns,364.5,meat,Germany,2018-01-23 00:00:00,fresh canned,smoked
smoked bread,954.38,meat,Poland,2019-05-13 00:00:00,domestic processed food,imported
smoked pork,622.68,canned,Poland,2019-11-25 00:00:00,frozen dried,imported
smoked chicken,173.78,pastry,Morocco,2019-09-26 00:00:00,fresh fruit,smoked
spicy lentils,927.25,vegetables,China,2018-06-23 00:00:00,fresh meat,frozen
fresh chicken,196.44,meat,France,2018-07-11 00:00:00,imported legumes,smoked
fresh broccoli,518.47,dried,China,2019-12-26 00:00:00,spicy canned,imported
domestic beans,44.1,pastry,Morocco,2019-10-09 00:00:00,vacuum sealed processed food,imported
spicy beans,630.79,vegetables,Germany,2018-03-03 00:00:00,frozen canned,spicy
domestic bread,119.11,canned,Brazil,2018-05-21 00:00:00,imported vegetables,domestic
spicy pork,705.94,legumes,Poland,2020-02-20 00:00:00,vacuum sealed vegetables,fresh
vacuum sealed paprika,395.57,legumes,Poland,2019-10-07 00:00:00,smoked legumes,smoked
dried broccoli,246.52,processed food,China,2018-09-12 00:00:00,vacuum sealed fruit,vacuum sealed
spicy lentils,833.21,meat,France,2019-04-18 00:00:00,spicy canned,vacuum sealed
vacuum sealed beef,323.75,canned,France,2018-07-26 00:00:00,dried vegetables,frozen
spicy beef,330.83,canned,Brazil,2018-12-19 00:00:00,imported dried,domestic
dried chicken,579.08,dried,China,2019-04-28 00:00:00,domestic processed food,imported
dried pork,252.56,processed food,France,2019-02-27 00:00:00,vacuum sealed canned,vacuum sealed
domestic paprika,391.54,fruit,Poland,2020-08-04 00:00:00,frozen pastry,spicy
imported buns,2.48,dried,France,2020-05-13 00:00:00,smoked fruit,frozen
smoked bread,543.06,vegetables,China,2019-03-17 00:00:00,dried canned,fresh
domestic buns,113.43,fruit,Poland,2019-12-20 00:00:00,spicy meat,domestic
smoked paprika,281.05,fruit,Spain,2020-11-07 00:00:00,imported vegetables,dried
imported paprika,984.51,legumes,Germany,2018-07-10 00:00:00,spicy legumes,frozen
fresh paprika,228.24,meat,Brazil,2018-10-05 00:00:00,frozen legumes,frozen
domestic gurkin,446.38,legumes,Brazil,2020-07-03 00:00:00,vacuum sealed legumes,fresh
spicy lentils,33.4,legumes,Poland,2018-03-28 00:00:00,frozen canned,frozen
dried buns,993.29,fruit,China,2020-10-06 00:00:00,vacuum sealed dried,frozen
dried broccoli,659.49,legumes,France,2020-08-06 00:00:00,fresh canned,spicy
spicy tomato,23.24,legumes,Morocco,2020-03-05 00:00:00,domestic fruit,vacuum sealed
smoked prawns,56.36,legumes,China,2020-12-14 00:00:00,domestic processed food,fresh
vacuum sealed beef,911.59,vegetables,Germany,2018-10-04 00:00:00,dried pastry,dried
vacuum sealed paprika,446.66,dried,China,2020-09-17 00:00:00,imported processed food,domestic
smoked prawns,588.08,dried,China,2020-09-05 00:00:00,fresh legumes,dried
vacuum sealed prawns,946.88,canned,Brazil,2018-07-05 00:00:00,smoked meat,dried
frozen beef,92.93,canned,Germany,2019-02-05 00:00:00,imported canned,smoked
fresh broccoli,396.63,pastry,China,2020-10-24 00:00:00,dried pastry,dried
spicy paprika,937.71,pastry,Germany,2018-02-05 00:00:00,fresh fruit,vacuum sealed
dried prawns,663.86,fruit,Brazil,2018-04-03 00:00:00,spicy processed food,spicy
imported prawns,601.82,canned,Poland,2019-10-20 00:00:00,vacuum sealed pastry,spicy
smoked buns,531.77,vegetables,France,2020-04-09 00:00:00,domestic vegetables,imported
fresh tomato,480.31,dried,China,2020-08-22 00:00:00,frozen canned,smoked
smoked beans,528.42,vegetables,Morocco,2018-06-05 00:00:00,dried legumes,imported
spicy tomato,347.26,processed food,China,2018-08-15 00:00:00,dried vegetables,smoked
vacuum sealed prawns,925.36,legumes,Poland,2018-10-16 00:00:00,domestic dried,frozen
frozen buns,791.33,fruit,Germany,2019-05-26 00:00:00,vacuum sealed processed food,spicy
spicy tomato,629.35,canned,France,2018-10-02 00:00:00,dried fruit,spicy
imported broccoli,645.66,legumes,Germany,2018-01-16 00:00:00,smoked dried,fresh
imported lentils,82.96,dried,China,2019-09-08 00:00:00,domestic meat,fresh
vacuum sealed paprika,389.64,canned,France,2019-01-13 00:00:00,smoked vegetables,smoked
spicy bread,743.38,canned,China,2018-01-12 00:00:00,imported dried,vacuum sealed
imported broccoli,905.08,pastry,Germany,2020-05-23 00:00:00,smoked dried,frozen
dried gurkin,816.14,dried,Morocco,2020-05-03 00:00:00,imported legumes,fresh
fresh bread,832.99,vegetables,Morocco,2018-09-02 00:00:00,vacuum sealed vegetables,fresh
domestic gurkin,746.5,processed food,Morocco,2019-04-28 00:00:00,vacuum sealed legumes,vacuum sealed
vacuum sealed potatoes,700.75,fruit,Brazil,2019-12-28 00:00:00,imported processed food,smoked
smoked pork,70.69,pastry,Germany,2020-11-23 00:00:00,spicy processed food,fresh
frozen prawns,868.83,legumes,Germany,2019-08-03 00:00:00,domestic processed food,frozen
frozen potatoes,44.36,meat,France,2020-04-27 00:00:00,fresh dried,frozen
vacuum sealed beans,182.2,fruit,China,2018-07-18 00:00:00,spicy legumes,imported
frozen beef,478.01,fruit,Germany,2018-01-12 00:00:00,smoked canned,domestic
frozen beans,494.21,pastry,Poland,2020-02-20 00:00:00,imported processed food,imported
imported potatoes,515.32,processed food,France,2020-05-23 00:00:00,dried canned,frozen
imported gurkin,381.74,fruit,Morocco,2019-02-23 00:00:00,vacuum sealed vegetables,dried
frozen potatoes,465.51,vegetables,Spain,2019-11-09 00:00:00,imported legumes,domestic
frozen pork,612.74,vegetables,Poland,2019-12-25 00:00:00,imported canned,spicy
imported broccoli,43.37,vegetables,Poland,2019-04-21 00:00:00,domestic dried,domestic
vacuum sealed pork,820.33,dried,Brazil,2020-04-01 00:00:00,fresh meat,fresh
spicy lentils,962.47,canned,China,2018-08-14 00:00:00,imported dried,vacuum sealed
dried beans,342.29,pastry,Brazil,2020-09-28 00:00:00,imported meat,imported
vacuum sealed tomato,898.56,processed food,Germany,2019-08-22 00:00:00,fresh legumes,imported
domestic tomato,786.34,dried,China,2019-11-17 00:00:00,smoked canned,smoked
dried broccoli,113.1,vegetables,France,2018-09-15 00:00:00,fresh dried,smoked
imported paprika,415.86,meat,Poland,2020-10-18 00:00:00,domestic vegetables,frozen
imported bread,755.94,processed food,Germany,2020-12-06 00:00:00,smoked canned,smoked
domestic pork,886.63,processed food,Spain,2020-12-03 00:00:00,fresh canned,vacuum sealed
spicy beef,402.56,pastry,Germany,2018-07-16 00:00:00,smoked fruit,frozen
spicy chicken,795.71,fruit,Germany,2018-10-28 00:00:00,smoked pastry,domestic
dried tomato,888.28,meat,Morocco,2019-12-03 00:00:00,domestic meat,fresh
frozen lentils,465.66,legumes,China,2018-03-28 00:00:00,smoked processed food,vacuum sealed
vacuum sealed beef,977.03,pastry,Poland,2020-10-08 00:00:00,spicy vegetables,domestic
frozen beans,690.55,vegetables,China,2018-11-24 00:00:00,smoked pastry,domestic
spicy beans,915.1,meat,Spain,2018-10-15 00:00:00,smoked processed food,domestic
frozen pork,272.29,fruit,China,2020-06-08 00:00:00,domestic processed food,dried
imported prawns,570.41,pastry,Brazil,2018-02-22 00:00:00,smoked dried,dried
domestic tomato,530.22,processed food,Poland,2019-11-08 00:00:00,spicy fruit,fresh
smoked beans,663.32,legumes,Morocco,2018-07-12 00:00:00,imported processed food,fresh
dried paprika,935.29,canned,Morocco,2020-05-22 00:00:00,smoked pastry,vacuum sealed
smoked tomato,919.28,dried,Spain,2020-05-05 00:00:00,smoked vegetables,frozen
spicy broccoli,949.17,fruit,Poland,2020-05-08 00:00:00,vacuum sealed fruit,vacuum sealed
fresh gurkin,353.42,dried,Brazil,2018-01-16 00:00:00,dried pastry,imported
vacuum sealed pork,657.38,processed food,China,2020-09-21 00:00:00,smoked canned,spicy
domestic paprika,43.23,meat,Morocco,2020-03-08 00:00:00,smoked meat,imported
smoked beans,168.54,vegetables,Morocco,2018-02-15 00:00:00,vacuum sealed pastry,fresh
dried buns,408.09,processed food,Poland,2019-04-16 00:00:00,vacuum sealed meat,smoked
fresh beans,422.38,legumes,Poland,2018-02-04 00:00:00,imported vegetables,smoked
fresh paprika,28.5,dried,China,2020-04-18 00:00:00,spicy canned,dried
smoked chicken,602.43,dried,Germany,2019-10-01 00:00:00,spicy fruit,frozen
fresh prawns,223.41,processed food,Brazil,2020-10-03 00:00:00,smoked dried,vacuum sealed
frozen pork,932.17,vegetables,Spain,2019-05-20 00:00:00,spicy vegetables,vacuum sealed
vacuum sealed beans,45.38,processed food,France,2019-02-10 00:00:00,dried vegetables,spicy
spicy lentils,283.03,vegetables,Germany,2020-10-10 00:00:00,frozen pastry,vacuum sealed
fresh paprika,458.44,legumes,China,2018-06-17 00:00:00,imported legumes,smoked
vacuum sealed lentils,326.19,fruit,Germany,2020-01-24 00:00:00,spicy pastry,imported
fresh broccoli,689.88,pastry,Poland,2020-07-14 00:00:00,fresh pastry,spicy
vacuum sealed beef,878.91,fruit,France,2018-01-16 00:00:00,spicy legumes,imported
vacuum sealed broccoli,344.95,legumes,China,2019-09-07 00:00:00,imported canned,vacuum sealed
vacuum sealed lentils,260.85,processed food,Morocco,2019-12-25 00:00:00,domestic fruit,fresh
domestic tomato,555.11,fruit,Spain,2019-05-14 00:00:00,dried fruit,vacuum sealed
fresh beef,650.17,vegetables,Germany,2019-03-21 00:00:00,imported legumes,fresh
fresh potatoes,287.87,canned,Poland,2018-04-06 00:00:00,dried fruit,imported
vacuum sealed broccoli,997.01,vegetables,China,2020-10-02 00:00:00,imported meat,domestic
spicy broccoli,461.63,vegetables,Germany,2020-10-11 00:00:00,frozen pastry,fresh
fresh paprika,777.49,processed food,Spain,2020-08-02 00:00:00,fresh legumes,imported
imported chicken,781.55,vegetables,Spain,2020-07-07 00:00:00,frozen legumes,imported
fresh beef,846.23,processed food,Spain,2020-09-12 00:00:00,fresh meat,vacuum sealed
frozen buns,657.42,fruit,Spain,2020-12-07 00:00:00,domestic meat,domestic
dried broccoli,732.29,legumes,Spain,2019-08-21 00:00:00,frozen legumes,dried
fresh lentils,623.22,dried,China,2018-06-15 00:00:00,vacuum sealed vegetables,imported
frozen paprika,712.39,meat,China,2018-06-22 00:00:00,vacuum sealed dried,domestic
frozen broccoli,358.13,legumes,Brazil,2018-03-21 00:00:00,domestic vegetables,frozen
smoked potatoes,865.81,dried,France,2020-03-14 00:00:00,imported legumes,smoked
frozen pork,427.45,pastry,Morocco,2020-09-08 00:00:00,smoked canned,domestic
smoked potatoes,521.12,dried,Germany,2018-07-12 00:00:00,domestic processed food,domestic
spicy tomato,437.35,pastry,Germany,2019-09-01 00:00:00,smoked pastry,domestic
dried beans,753.1,legumes,Morocco,2019-01-19 00:00:00,vacuum sealed canned,frozen
domestic gurkin,521.65,dried,Germany,2019-01-15 00:00:00,imported processed food,imported
imported chicken,438.96,processed food,Germany,2018-02-11 00:00:00,vacuum sealed legumes,smoked
frozen lentils,582.78,fruit,Poland,2020-07-20 00:00:00,spicy legumes,fresh
frozen buns,846.01,pastry,Spain,2020-09-26 00:00:00,frozen canned,imported
smoked beans,877.95,pastry,France,2019-06-08 00:00:00,dried dried,spicy
dried beef,890.36,meat,Brazil,2018-01-02 00:00:00,vacuum sealed pastry,fresh
frozen paprika,821.28,meat,Spain,2019-02-22 00:00:00,smoked vegetables,smoked
frozen bread,87.16,fruit,China,2018-01-18 00:00:00,fresh vegetables,spicy
imported chicken,158.07,canned,China,2019-10-10 00:00:00,spicy dried,spicy
frozen paprika,263.42,fruit,Brazil,2019-11-15 00:00:00,fresh fruit,imported
domestic prawns,262.23,fruit,Spain,2019-10-03 00:00:00,smoked dried,domestic
frozen tomato,783.65,dried,China,2018-04-25 00:00:00,spicy fruit,fresh
spicy potatoes,260.71,legumes,Spain,2020-06-06 00:00:00,vacuum sealed processed food,fresh
imported beans,835.52,dried,Germany,2020-02-20 00:00:00,fresh vegetables,fresh
fresh broccoli,233.08,legumes,China,2020-02-07 00:00:00,smoked pastry,vacuum sealed
domestic chicken,176.66,canned,Germany,2020-10-11 00:00:00,frozen legumes,smoked
spicy broccoli,601.67,pastry,Poland,2018-09-14 00:00:00,vacuum sealed canned,vacuum sealed
vacuum sealed potatoes,259.32,dried,France,2020-07-23 00:00:00,spicy dried,frozen
frozen gurkin,179.16,vegetables,Poland,2018-08-11 00:00:00,frozen meat,domestic
imported buns,532.11,fruit,China,2020-06-15 00:00:00,fresh legumes,spicy
vacuum sealed pork,57.26,vegetables,China,2020-04-08 00:00:00,imported pastry,spicy
domestic beans,76.01,legumes,Morocco,2020-01-18 00:00:00,fresh fruit,spicy
imported beef,555.58,legumes,Morocco,2020-08-19 00:00:00,imported vegetables,smoked
imported gurkin,661.71,canned,China,2019-11-21 00:00:00,smoked meat,domestic
spicy potatoes,325.55,processed food,China,2018-04-07 00:00:00,smoked legumes,domestic
frozen prawns,731.6,fruit,Poland,2020-04-04 00:00:00,domestic canned,spicy
fresh buns,865.77,legumes,Brazil,2020-07-04 00:00:00,fresh dried,dried
imported paprika,6.53,vegetables,Brazil,2020-06-21 00:00:00,fresh vegetables,vacuum sealed
vacuum sealed buns,182.58,canned,Spain,2019-11-23 00:00:00,frozen dried,domestic
domestic chicken,107.51,pastry,Spain,2019-05-21 00:00:00,imported vegetables,domestic
frozen potatoes,970.91,processed food,Brazil,2018-07-04 00:00:00,spicy meat,imported
imported tomato,993.22,processed food,China,2020-03-26 00:00:00,dried dried,spicy
vacuum sealed buns,552.25,dried,Poland,2019-07-22 00:00:00,dried dried,dried
spicy pork,739.04,pastry,Brazil,2019-02-28 00:00:00,domestic canned,imported
fresh buns,224.87,vegetables,Germany,2018-01-19 00:00:00,smoked meat,fresh
spicy bread,192.77,legumes,France,2020-09-06 00:00:00,domestic vegetables,frozen
vacuum sealed beef,306.06,meat,Brazil,2019-09-02 00:00:00,frozen dried,smoked
domestic prawns,398.7,fruit,China,2018-04-05 00:00:00,dried fruit,dried
imported broccoli,832.7,dried,France,2020-01-10 00:00:00,vacuum sealed dried,domestic
dried broccoli,199.88,meat,Morocco,2020-04-08 00:00:00,imported meat,smoked
frozen chicken,310.84,meat,Morocco,2018-12-18 00:00:00,imported dried,fresh
dried buns,712.5,meat,Germany,2020-04-17 00:00:00,smoked dried,spicy
fresh paprika,106.9,meat,Brazil,2019-11-27 00:00:00,imported meat,frozen
spicy bread,640.64,legumes,China,2020-12-25 00:00:00,domestic fruit,fresh
domestic tomato,754.35,legumes,Morocco,2018-12-07 00:00:00,frozen processed food,imported
dried prawns,97.52,meat,Morocco,2020-03-21 00:00:00,spicy canned,spicy
smoked lentils,153.67,vegetables,Germany,2020-06-05 00:00:00,frozen legumes,domestic
frozen potatoes,949.88,canned,China,2018-02-13 00:00:00,vacuum sealed pastry,spicy
smoked paprika,171.02,pastry,Brazil,2018-09-07 00:00:00,dried meat,imported
vacuum sealed bread,343.0,dried,Germany,2019-08-21 00:00:00,domestic meat,fresh
frozen paprika,591.05,dried,France,2020-03-08 00:00:00,smoked legumes,smoked
fresh chicken,187.78,fruit,Germany,2018-04-25 00:00:00,imported fruit,domestic
spicy gurkin,894.59,legumes,Germany,2019-09-26 00:00:00,spicy meat,frozen
vacuum sealed broccoli,443.65,fruit,Brazil,2018-11-10 00:00:00,frozen vegetables,fresh
dried bread,179.31,legumes,Brazil,2018-01-17 00:00:00,fresh meat,spicy
domestic pork,945.27,canned,Poland,2019-02-26 00:00:00,frozen legumes,vacuum sealed
domestic bread,986.72,pastry,Brazil,2018-08-25 00:00:00,fresh fruit,imported
smoked gurkin,194.66,pastry,Morocco,2019-02-07 00:00:00,domestic vegetables,frozen
smoked broccoli,418.83,pastry,Brazil,2018-02-26 00:00:00,dried legumes,vacuum sealed
vacuum sealed beans,133.86,pastry,Brazil,2019-05-27 00:00:00,dried canned,spicy
fresh buns,764.24,processed food,Germany,2019-09-06 00:00:00,dried legumes,fresh
domestic gurkin,169.82,dried,Germany,2019-07-12 00:00:00,spicy dried,dried
imported chicken,758.13,dried,Morocco,2020-03-19 00:00:00,fresh legumes,domestic
smoked chicken,590.88,vegetables,Germany,2020-09-22 00:00:00,imported pastry,frozen
frozen pork,344.65,meat,Poland,2019-01-15 00:00:00,smoked legumes,vacuum sealed
dried chicken,39.73,pastry,Germany,2018-11-23 00:00:00,smoked pastry,imported
imported prawns,852.09,meat,Brazil,2019-10-21 00:00:00,domestic fruit,vacuum sealed
fresh pork,441.29,canned,Germany,2018-12-26 00:00:00,vacuum sealed pastry,fresh
imported paprika,947.79,legumes,Spain,2019-08-26 00:00:00,spicy processed food,smoked
dried pork,527.31,dried,Spain,2019-01-22 00:00:00,vacuum sealed canned,dried
spicy tomato,455.14,processed food,Germany,2019-12-15 00:00:00,smoked fruit,frozen
frozen paprika,879.62,dried,Germany,2020-09-22 00:00:00,fresh canned,fresh
dried gurkin,625.92,pastry,France,2018-06-03 00:00:00,domestic meat,dried
vacuum sealed gurkin,941.28,processed food,Brazil,2018-10-01 00:00:00,fresh legumes,spicy
domestic chicken,197.05,dried,China,2019-02-25 00:00:00,fresh legumes,vacuum sealed
smoked beef,499.81,pastry,Morocco,2018-01-03 00:00:00,dried pastry,smoked
frozen paprika,254.34,dried,Morocco,2019-03-25 00:00:00,dried meat,smoked
domestic potatoes,816.98,meat,Poland,2020-01-01 00:00:00,imported processed food,frozen
dried gurkin,981.08,processed food,Germany,2020-01-10 00:00:00,dried fruit,imported
vacuum sealed bread,354.68,processed food,France,2020-02-02 00:00:00,dried vegetables,smoked
frozen lentils,456.66,fruit,Brazil,2020-01-27 00:00:00,frozen legumes,dried
spicy beans,643.64,canned,Brazil,2020-01-04 00:00:00,vacuum sealed pastry,smoked
vacuum sealed broccoli,503.39,canned,Germany,2020-07-11 00:00:00,spicy pastry,frozen
vacuum sealed pork,748.25,dried,Germany,2019-05-12 00:00:00,domestic pastry,domestic
fresh chicken,204.28,dried,France,2018-09-19 00:00:00,vacuum sealed vegetables,vacuum sealed
vacuum sealed buns,842.11,meat,Poland,2018-03-12 00:00:00,spicy vegetables,dried
domestic gurkin,508.18,fruit,France,2019-11-19 00:00:00,frozen vegetables,fresh
imported bread,448.37,fruit,Spain,2020-11-17 00:00:00,dried processed food,frozen
dried pork,628.78,fruit,Spain,2018-11-22 00:00:00,imported pastry,imported
imported beef,151.73,processed food,France,2020-03-05 00:00:00,domestic processed food,vacuum sealed
spicy broccoli,368.22,meat,Morocco,2018-07-12 00:00:00,smoked processed food,dried
frozen lentils,254.71,pastry,Germany,2018-05-25 00:00:00,fresh vegetables,dried
frozen prawns,730.35,dried,Germany,2018-10-19 00:00:00,domestic legumes,smoked
smoked beef,432.39,legumes,Germany,2018-02-19 00:00:00,domestic pastry,spicy
fresh lentils,213.38,processed food,Poland,2018-09-22 00:00:00,vacuum sealed fruit,spicy
vacuum sealed paprika,322.15,meat,China,2019-02-04 00:00:00,fresh meat,fresh
spicy tomato,634.06,canned,Germany,2019-08-11 00:00:00,dried processed food,dried
frozen lentils,78.16,processed food,Germany,2018-04-11 00:00:00,frozen vegetables,smoked
fresh beef,462.01,pastry,Germany,2018-03-15 00:00:00,dried pastry,imported
smoked pork,510.24,processed food,Poland,2020-09-27 00:00:00,smoked processed food,imported
domestic prawns,219.52,dried,France,2020-04-21 00:00:00,frozen dried,vacuum sealed
smoked prawns,215.0,pastry,China,2018-08-20 00:00:00,dried meat,spicy
domestic pork,108.99,meat,Germany,2018-10-21 00:00:00,dried fruit,dried
dried tomato,403.48,pastry,Brazil,2020-01-14 00:00:00,dried fruit,imported
domestic bread,349.17,vegetables,China,2020-10-13 00:00:00,spicy pastry,dried
dried bread,763.85,dried,China,2018-08-19 00:00:00,frozen pastry,frozen
fresh prawns,328.31,canned,Germany,2018-08-05 00:00:00,imported legumes,vacuum sealed
frozen prawns,313.89,canned,Morocco,2018-04-10 00:00:00,dried canned,imported
fresh beans,556.51,meat,France,2020-08-16 00:00:00,spicy fruit,smoked
vacuum sealed potatoes,383.5,canned,Morocco,2020-08-24 00:00:00,smoked vegetables,smoked
frozen chicken,448.4,vegetables,Morocco,2019-03-13 00:00:00,imported pastry,vacuum sealed
spicy paprika,367.2,meat,Poland,2019-03-08 00:00:00,frozen legumes,vacuum sealed
smoked gurkin,548.01,vegetables,Germany,2020-12-18 00:00:00,smoked vegetables,vacuum sealed
fresh bread,930.9,legumes,Poland,2019-03-07 00:00:00,vacuum sealed meat,smoked
domestic chicken,797.31,vegetables,France,2018-03-19 00:00:00,domestic fruit,smoked
fresh chicken,326.44,meat,Germany,2019-03-15 00:00:00,imported fruit,frozen
imported beef,660.37,meat,Poland,2018-08-26 00:00:00,imported fruit,imported
smoked tomato,741.56,dried,China,2018-03-04 00:00:00,domestic pastry,dried
frozen prawns,193.52,vegetables,Poland,2018-03-21 00:00:00,fresh processed food,dried
dried buns,163.87,dried,Brazil,2020-06-12 00:00:00,frozen meat,domestic
fresh lentils,258.63,dried,Spain,2018-06-09 00:00:00,smoked pastry,smoked
domestic paprika,231.44,vegetables,China,2018-03-12 00:00:00,domestic meat,dried
frozen broccoli,780.86,meat,Spain,2018-09-16 00:00:00,frozen legumes,vacuum sealed
vacuum sealed tomato,175.63,processed food,China,2019-08-24 00:00:00,fresh legumes,smoked
spicy tomato,668.02,fruit,Spain,2018-09-24 00:00:00,smoked processed food,dried
imported gurkin,134.89,fruit,Brazil,2018-03-23 00:00:00,smoked processed food,dried
imported broccoli,214.99,processed food,France,2019-04-08 00:00:00,smoked processed food,domestic
vacuum sealed prawns,402.82,meat,Poland,2018-11-09 00:00:00,domestic dried,domestic
vacuum sealed beans,894.4,pastry,Spain,2018-03-13 00:00:00,dried processed food,fresh
imported chicken,320.97,dried,Spain,2020-08-07 00:00:00,dried canned,vacuum sealed
imported chicken,140.14,fruit,France,2018-09-11 00:00:00,imported canned,imported
spicy buns,920.75,canned,Morocco,2018-08-01 00:00:00,dried vegetables,domestic
vacuum sealed potatoes,249.47,meat,France,2020-10-18 00:00:00,frozen vegetables,spicy
domestic prawns,327.54,fruit,Brazil,2020-09-25 00:00:00,domestic vegetables,fresh
smoked bread,623.39,dried,China,2018-07-24 00:00:00,smoked fruit,frozen
vacuum sealed tomato,433.58,meat,Spain,2018-05-19 00:00:00,frozen meat,dried
fresh gurkin,896.65,processed food,Morocco,2020-04-26 00:00:00,imported fruit,spicy
spicy pork,193.99,meat,Germany,2018-01-12 00:00:00,vacuum sealed pastry,smoked
dried potatoes,642.9,meat,France,2019-05-04 00:00:00,domestic fruit,spicy
dried beans,36.13,pastry,France,2018-06-25 00:00:00,spicy pastry,domestic
frozen buns,100.14,canned,Germany,2018-08-28 00:00:00,imported meat,domestic
dried prawns,194.17,canned,Germany,2020-03-11 00:00:00,spicy canned,spicy
smoked tomato,699.16,processed food,Poland,2019-06-10 00:00:00,imported legumes,vacuum sealed
smoked beef,740.17,legumes,Germany,2018-04-09 00:00:00,spicy dried,dried
vacuum sealed paprika,230.12,canned,Poland,2019-02-28 00:00:00,fresh vegetables,spicy
dried beef,398.49,pastry,China,2019-05-07 00:00:00,imported canned,spicy
vacuum sealed bread,635.21,processed food,France,2019-01-07 00:00:00,imported processed food,frozen
spicy gurkin,9.84,pastry,Brazil,2018-10-11 00:00:00,frozen pastry,spicy
domestic buns,133.03,pastry,France,2018-05-10 00:00:00,domestic vegetables,frozen
fresh paprika,507.7,canned,Brazil,2019-01-13 00:00:00,dried dried,dried
spicy potatoes,720.01,fruit,Germany,2020-02-15 00:00:00,frozen vegetables,domestic
smoked paprika,835.88,processed food,Germany,2019-10-04 00:00:00,imported legumes,frozen
spicy chicken,710.63,meat,China,2018-02-17 00:00:00,spicy processed food,domestic
vacuum sealed pork,713.72,dried,China,2019-11-17 00:00:00,vacuum sealed dried,fresh
frozen buns,511.36,fruit,China,2018-06-10 00:00:00,vacuum sealed pastry,frozen
imported gurkin,606.32,dried,France,2018-02-14 00:00:00,smoked dried,domestic
frozen tomato,350.68,processed food,Brazil,2019-07-03 00:00:00,fresh vegetables,smoked
smoked beans,809.53,processed food,China,2019-05-12 00:00:00,vacuum sealed vegetables,fresh
vacuum sealed bread,232.84,vegetables,Brazil,2019-07-05 00:00:00,imported dried,vacuum sealed
imported beef,868.57,legumes,Spain,2018-06-24 00:00:00,fresh meat,frozen
domestic broccoli,920.15,dried,Poland,2019-10-26 00:00:00,domestic dried,fresh
imported broccoli,427.31,dried,Poland,2018-08-17 00:00:00,smoked vegetables,smoked
spicy paprika,408.02,dried,China,2018-12-05 00:00:00,domestic pastry,domestic
imported buns,153.95,pastry,Germany,2020-10-26 00:00:00,domestic canned,domestic
smoked broccoli,309.94,meat,Poland,2019-11-25 00:00:00,imported fruit,imported
